iter	Logloss
0	0.6572365328
1	0.6266100194
2	0.6074768476
3	0.5875885727
4	0.5626820262
5	0.5402122237
6	0.5324216008
7	0.5199801499
8	0.5104993533
9	0.506109763
10	0.4975077508
11	0.493454804
12	0.4858515934
13	0.4802951604
14	0.4759808793
15	0.4720002936
16	0.4671509192
17	0.4629026683
18	0.4594981303
19	0.4556537968
20	0.451105846
21	0.448453564
22	0.4454319599
23	0.4426966068
24	0.4399586616
25	0.4381326725
26	0.4367632585
27	0.4353582479
28	0.4327006673
29	0.4294907337
30	0.4267211962
31	0.4244675861
32	0.4226512234
33	0.4216338353
34	0.4201571719
35	0.4176575043
36	0.4151782085
37	0.4132245876
38	0.410653553
39	0.4100579117
40	0.408321254
41	0.4067751708
42	0.4048555352
43	0.4039602433
44	0.4033773021
45	0.4015240398
46	0.4007254446
47	0.3991340044
48	0.3976430441
49	0.3969197234
50	0.3962172853
51	0.3958652227
52	0.3926868972
53	0.3916334021
54	0.3901894904
55	0.3890994773
56	0.3880876644
57	0.3862187095
58	0.3851568953
59	0.3837596134
60	0.3821082772
61	0.3801720877
62	0.3791519733
63	0.3777243015
64	0.3761820688
65	0.3741834991
66	0.3735632928
67	0.3723055298
68	0.3714824096
69	0.3707214619
70	0.3695830762
71	0.3679674356
72	0.3666051183
73	0.3647251914
74	0.3624755309
75	0.3611953325
76	0.3607200882
77	0.3589256376
78	0.3577290258
79	0.3563440852
80	0.3546074239
81	0.3537919273
82	0.3524022139
83	0.3507299182
84	0.3491214675
85	0.348669531
86	0.3474748839
87	0.3455630231
88	0.3435502103
89	0.3427427016
90	0.3412843851
91	0.3411053774
92	0.3394258485
93	0.3379391989
94	0.3358167808
95	0.3342563364
96	0.3330798772
97	0.3318345662
98	0.3315605287
99	0.3306249504
100	0.3296993788
101	0.3286561963
102	0.3264285036
103	0.3255853667
104	0.3243081169
105	0.3235169858
106	0.322457687
107	0.3206171487
108	0.3200044173
109	0.3180778902
110	0.3166774923
111	0.3155987984
112	0.3145388611
113	0.3133168573
114	0.3120952264
115	0.311004877
116	0.3098536704
117	0.3087642103
118	0.3073048448
119	0.3058074097
120	0.3043894554
121	0.3022207338
122	0.3007081395
123	0.2992835198
124	0.2985637749
125	0.2982120838
126	0.29713227
127	0.2963063649
128	0.2946912831
129	0.2939348119
130	0.293772149
131	0.2935931613
132	0.2926866258
133	0.2926176742
134	0.2913552306
135	0.29051167
136	0.2895308671
137	0.2879723687
138	0.287336483
139	0.2869872351
140	0.2849166219
141	0.2836046988
142	0.2816422374
143	0.2805600381
144	0.2797224029
145	0.2790419653
146	0.278361037
147	0.2777163712
148	0.2763061141
149	0.2756907932
150	0.2744128124
151	0.2733789122
152	0.2723663225
153	0.2707245389
154	0.2702924785
155	0.2690410622
156	0.2680790476
157	0.2669749888
158	0.2656246091
159	0.264943183
160	0.2640539407
161	0.2635396764
162	0.2629614923
163	0.2614302865
164	0.260711942
165	0.2591892948
166	0.2577106655
167	0.2575838657
168	0.2565587311
169	0.2554045703
170	0.2541080283
171	0.2534382077
172	0.2529529288
173	0.2524162761
174	0.2516823479
175	0.2511993991
176	0.2506211134
177	0.2501440725
178	0.2495680617
179	0.2482964242
180	0.2475168483
181	0.2462823669
182	0.2455816893
183	0.2444261817
184	0.2441862803
185	0.2437090536
186	0.2430313582
187	0.2420166816
188	0.2416053683
189	0.2406170465
190	0.2396369392
191	0.2392761641
192	0.2386417664
193	0.2382317841
194	0.2374852261
195	0.2365187684
196	0.2357726792
197	0.2349433339
198	0.2347282108
199	0.2337688783
